query_id,query_text,query_category,query_complexity,response_time,token_count,with_rag,accuracy,relevance,completeness,coherence,elements_covered,total_elements,has_error
general_0_rag,How do I register for classes?,academics,simple,10.907876014709473,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_0_no_rag,How do I register for classes?,academics,simple,2.4385499954223633,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_1_rag,How do I register for classes?,academics,simple,5.827308893203735,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_1_no_rag,How do I register for classes?,academics,simple,2.3698570728302,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_2_rag,How do I register for classes?,academics,simple,5.445513963699341,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_2_no_rag,How do I register for classes?,academics,simple,2.5521841049194336,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_3_rag,What are the admission requirements?,admissions,simple,7.308813095092773,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_3_no_rag,What are the admission requirements?,admissions,simple,2.4852590560913086,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_4_rag,What are the admission requirements?,admissions,simple,5.479636192321777,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_4_no_rag,What are the admission requirements?,admissions,simple,2.5604772567749023,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_5_rag,How do I register for classes?,academics,simple,6.141174077987671,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_5_no_rag,How do I register for classes?,academics,simple,2.547483205795288,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_6_rag,What are the admission requirements?,admissions,simple,4.911120891571045,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_6_no_rag,What are the admission requirements?,admissions,simple,2.332556962966919,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_7_rag,What are the admission requirements?,admissions,simple,5.735381841659546,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_7_no_rag,What are the admission requirements?,admissions,simple,2.416929006576538,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_8_rag,How do I register for classes?,academics,simple,4.783290147781372,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_8_no_rag,How do I register for classes?,academics,simple,2.440772294998169,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_9_rag,What are the admission requirements?,admissions,simple,5.047491073608398,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_9_no_rag,What are the admission requirements?,admissions,simple,2.4849817752838135,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_10_rag,What are the admission requirements?,admissions,simple,4.90271782875061,0,True,0.35570599999999997,0.5,0.5,0.5,0,3,True
general_10_no_rag,What are the admission requirements?,admissions,simple,2.5448319911956787,0,False,0.35570599999999997,0.5,0.5,0.5,0,3,True
