query_id,query_text,query_category,query_complexity,response_time,token_count,with_rag,accuracy,relevance,completeness,coherence,elements_covered,total_elements,has_error
study_0,How do I register for classes?,academics,simple,9.727795839309692,402.5,False,0.6499999999999999,0.5,0.5,0.5,3,3,False
study_1,How do I register for classes?,academics,simple,9.938167095184326,367.40000000000003,False,0.58,0.5,0.5,0.5,2,3,False
study_2,What are the admission requirements?,admissions,simple,7.378274202346802,310.5,False,0.58,0.5,0.5,0.5,2,3,False
study_3,How do I register for classes?,academics,simple,8.096832990646362,333.6,False,0.58,0.5,0.5,0.5,2,3,False
study_4,How do I register for classes?,academics,simple,14.7192702293396,345.3,False,0.58,0.5,0.5,0.5,2,3,False
study_5,How do I register for classes?,academics,simple,8.649811267852783,385.6,False,0.51,0.5,0.5,0.5,1,3,False
study_6,How do I register for classes?,academics,simple,11.33128023147583,507.8,False,0.51,0.5,0.5,0.5,1,3,False
study_7,What are the admission requirements?,admissions,simple,10.51436710357666,393.7,False,0.6499999999999999,0.5,0.5,0.5,3,3,False
study_8,What are the admission requirements?,admissions,simple,12.814217805862427,419.7,False,0.51,0.5,0.5,0.5,1,3,False
study_9,What are the admission requirements?,admissions,simple,10.098378896713257,383.3,False,0.58,0.5,0.5,0.5,2,3,False
study_10,What are the admission requirements?,admissions,simple,9.751648902893066,398.90000000000003,False,0.6499999999999999,0.5,0.5,0.5,3,3,False
study_11,What are the admission requirements?,admissions,simple,8.51395320892334,330.0,False,0.43999999999999995,0.5,0.5,0.5,0,3,False
study_12,How do I register for classes?,academics,simple,10.109930753707886,354.40000000000003,False,0.58,0.5,0.5,0.5,2,3,False
study_13,How do I register for classes?,academics,simple,10.681867122650146,396.0,False,0.6499999999999999,0.5,0.5,0.5,3,3,False
study_14,How do I register for classes?,academics,simple,8.746876955032349,377.8,False,0.51,0.5,0.5,0.5,1,3,False
study_15,How do I register for classes?,academics,simple,9.728559017181396,402.5,False,0.51,0.5,0.5,0.5,1,3,False
study_16,What are the admission requirements?,admissions,simple,8.8379967212677,375.5,False,0.58,0.5,0.5,0.5,2,3,False
